id,city,state,population,latitude,longitude,gestation_8_duration,gestation_8_duration_closed,gestation_12_duration,gestation_12_duration_closed,gestation_16_duration,gestation_16_duration_closed,gestation_20_duration,gestation_20_duration_closed
73,Fort Wayne,Indiana,260326,41.079273,-85.139351,3,3,3,3,3,4,3,4
74,Orlando,Florida,270934,28.538335,-81.379237,0,0,0,0,0,0,0,0
75,St. Petersburg,Florida,257083,27.751828,-82.626734,0,0,0,0,0,0,0,0
76,Chandler,Arizona,260828,33.30616,-111.84125,0,1,0,1,0,1,1,1
77,Laredo,Texas,255473,27.530567,-99.480324,4,4,4,4,4,4,4,6
78,Norfolk,Virginia,246393,36.850769,-76.285873,0,0,0,0,3,6,6,6
79,Durham,North Carolina,257636,35.994033,-78.898619,0,0,0,0,0,0,0,0
80,Madison,Wisconsin,248951,43.073052,-89.40123,0,2,0,2,0,2,2,4
81,Lubbock,Texas,249042,33.577863,-101.855166,8,9,8,9,8,9,10,10
82,Irvine,California,256927,33.684567,-117.826505,0,0,0,0,0,0,0,0
83,Winston-Salem,North Carolina,241218,36.09986,-80.244216,0,0,0,0,0,2,0,2
84,Glendale,Arizona,240126,33.538652,-112.185987,0,0,0,0,0,0,0,1
85,Garland,Texas,236897,32.912624,-96.638883,0,0,0,0,0,0,0,6
86,Hialeah,Florida,237069,25.857596,-80.278106,0,0,0,0,0,0,0,0
87,Reno,Nevada,241445,39.529633,-119.813803,0,3,0,3,0,3,0,3
88,Chesapeake,Virginia,235429,36.768209,-76.287493,0,0,0,0,3,5,5,6
89,Gilbert,Arizona,247542,33.352826,-111.789027,0,1,0,1,0,1,1,1
90,Baton Rouge,Louisiana,228590,30.44924,-91.185607,0,2,0,2,0,2,7,10
91,Irving,Texas,236607,32.814018,-96.948894,0,0,0,0,0,0,0,6
92,Scottsdale,Arizona,236839,33.49417,-111.926052,0,0,0,0,0,0,0,0
93,North Las Vegas,Nevada,234807,36.198859,-115.117501,0,0,0,0,0,0,0,0
94,Fremont,California,232206,37.54827,-121.988572,0,0,0,0,0,1,1,1
95,Boise City,Idaho,218281,43.61871,-116.214607,0,0,0,8,8,10,10,11
96,Richmond,Virginia,220289,37.540725,-77.436048,0,0,0,0,0,3,3,3
97,San Bernardino,California,216108,34.108345,-117.289765,0,0,0,0,0,0,0,0
98,Birmingham,Alabama,212461,33.520661,-86.80249,0,1,0,1,1,3,1,3
99,Spokane,Washington,213272,47.65878,-117.426046,0,0,0,4,0,4,6,8
100,Rochester,New York,209802,43.16103,-77.610922,0,0,0,2,2,2,8,8
101,Des Moines,Iowa,210330,41.600545,-93.609106,0,1,0,3,0,3,3,4
102,Modesto,California,211266,37.639097,-120.996878,0,0,0,1,0,1,0,2
103,Fayetteville,North Carolina,201963,35.052664,-78.878358,0,0,0,0,0,2,0,2
104,Tacoma,Washington,207948,47.252877,-122.444291,0,0,0,0,0,0,0,1
105,Oxnard,California,207254,34.197505,-119.177052,0,0,0,0,0,0,0,1
106,Fontana,California,207460,34.092233,-117.435048,0,0,0,0,0,0,0,0
107,Columbus,Georgia,200579,32.460976,-84.987709,0,2,0,2,3,3,3,3
108,Montgomery,Alabama,200602,32.366805,-86.299969,0,2,0,2,3,4,3,4
109,Moreno Valley,California,204198,33.942466,-117.229672,0,0,0,0,0,0,0,0
110,Shreveport,Louisiana,197204,32.525152,-93.750179,0,5,0,5,0,5,5,6
111,Aurora,Illinois,200661,41.760585,-88.320072,0,0,0,0,0,0,1,1
112,Yonkers,New York,201116,40.93121,-73.898747,0,0,0,0,0,0,0,0
113,Akron,Ohio,197542,41.081445,-81.519005,0,0,0,0,0,1,1,6
114,Huntington Beach,California,201899,33.659484,-117.998803,0,0,0,0,0,0,0,0
115,Little Rock,Arkansas,197992,34.746481,-92.289595,0,0,0,4,0,6,0,9
116,Augusta,Georgia,197182,33.473498,-82.010515,0,2,0,2,0,4,4,4
117,Amarillo,Texas,198645,35.221997,-101.831297,7,7,7,8,7,8,7,8
118,Glendale,California,201020,34.142508,-118.255075,0,0,0,0,0,0,0,0
119,Mobile,Alabama,194288,30.695366,-88.039891,0,1,0,1,4,6,7,9
120,Grand Rapids,Michigan,195097,42.96336,-85.668086,0,0,0,1,0,1,0,2
121,Salt Lake City,Utah,192672,40.760779,-111.891047,0,0,0,0,0,11,0,11
122,Tallahassee,Florida,189907,30.438256,-84.280733,0,4,0,4,4,5,4,5
123,Huntsville,Alabama,190582,34.730369,-86.586104,0,3,0,3,0,3,0,4
124,Grand Prairie,Texas,187809,32.745964,-96.997785,0,0,0,0,0,0,0,6
125,Knoxville,Tennessee,185291,35.960638,-83.920739,0,0,0,3,5,6,6,6
126,Worcester,Massachusetts,184815,42.262593,-71.802293,0,1,0,1,0,1,0,1
127,Newport News,Virginia,182385,37.087082,-76.473012,1,1,1,1,2,5,5,5
128,Brownsville,Texas,183887,25.901747,-97.497484,2,7,2,7,2,7,8,10
129,Overland Park,Kansas,186515,38.982228,-94.670792,0,0,0,0,0,0,0,0
130,Santa Clarita,California,182371,34.391664,-118.542586,0,0,0,0,0,1,0,1
131,Providence,Rhode Island,179207,41.823989,-71.412834,0,0,0,0,0,0,0,0
132,Garden Grove,California,175393,33.774269,-117.937995,0,0,0,0,0,0,0,0
133,Chattanooga,Tennessee,176588,35.04563,-85.30968,3,3,3,3,3,3,3,3
134,Oceanside,California,175691,33.19587,-117.379483,0,0,1,1,1,1,1,1
135,Jackson,Mississippi,170674,32.298757,-90.18481,0,5,0,5,0,5,5,8
136,Fort Lauderdale,Florida,178590,26.122439,-80.137317,0,0,0,0,0,0,0,0
137,Santa Rosa,California,174972,38.440429,-122.714055,0,1,0,1,2,2,2,2
138,Rancho Cucamonga,California,175236,34.839964,-115.967051,0,0,0,0,0,0,0,1
139,Port St. Lucie,Florida,179413,27.273049,-80.358226,0,0,0,1,0,1,1,2
140,Tempe,Arizona,175826,33.42551,-111.940005,0,0,0,0,0,0,0,0
141,Ontario,California,171214,34.063344,-117.650888,0,0,0,0,0,0,0,0
142,Vancouver,Washington,172860,45.63184,-122.671606,0,0,0,0,0,4,0,4
143,Cape Coral,Florida,175229,26.562854,-81.949533,0,0,0,0,0,0,0,3
144,Sioux Falls,South Dakota,171544,43.544596,-96.731103,0,5,0,5,5,5,5,7
145,Springfield,Missouri,166810,37.208957,-93.292299,4,5,5,5,5,5,5,5
146,Peoria,Arizona,171237,33.580596,-112.237378,0,0,0,0,0,0,0,1
147,Pembroke Pines,Florida,166611,26.007765,-80.296256,0,0,0,0,0,0,0,0
148,Elk Grove,California,166913,38.408799,-121.371618,0,0,0,0,0,0,0,1
149,Salem,Oregon,164549,44.942898,-123.035096,0,1,0,1,1,6,1,6
150,Lancaster,California,161103,34.686785,-118.154163,1,1,1,1,1,1,1,2
151,Corona,California,164226,33.875293,-117.566438,0,0,0,0,0,0,0,0
152,Eugene,Oregon,163460,44.052069,-123.086754,0,2,0,2,3,7,3,7
153,Palmdale,California,158351,34.579434,-118.116461,1,1,1,1,1,1,1,1
154,Salinas,California,157380,36.677737,-121.655501,0,0,0,1,0,1,1,3
155,Springfield,Massachusetts,154341,42.101483,-72.589811,0,0,0,1,0,1,0,1
156,Pasadena,Texas,153784,29.691063,-95.209101,0,0,0,0,0,0,0,5
157,Fort Collins,Colorado,161175,40.58526,-105.084423,0,1,0,2,0,2,2,2
158,Hayward,California,158289,37.668821,-122.080796,0,0,0,0,0,0,0,0
159,Pomona,California,153266,34.055103,-117.749991,0,0,0,0,0,0,0,1
160,Cary,North Carolina,159769,35.79154,-78.781117,0,0,0,0,0,0,0,1
161,Rockford,Illinois,148278,42.271131,-89.093995,2,2,2,2,2,2,2,2
162,Alexandria,Virginia,153511,38.804836,-77.046921,0,0,0,0,0,0,0,0
163,Escondido,California,151451,33.119207,-117.086421,0,0,0,1,0,1,0,1
164,McKinney,Texas,162898,33.197246,-96.639782,0,0,0,0,0,0,0,6
165,Kansas City,Kansas,151306,39.114053,-94.627464,0,0,0,0,0,0,0,0
166,Joliet,Illinois,147861,41.525031,-88.081725,0,1,0,1,0,1,1,1
167,Sunnyvale,California,151754,37.36883,-122.03635,0,0,0,0,0,0,0,1
168,Torrance,California,148475,33.835849,-118.340629,0,0,0,0,0,0,0,0
169,Bridgeport,Connecticut,147629,41.186548,-73.195177,0,0,0,1,0,1,1,1
170,Lakewood,Colorado,152597,39.704709,-105.081373,0,0,0,0,0,0,0,0
171,Hollywood,Florida,149728,26.011201,-80.14949,0,0,0,0,0,0,0,0
172,Paterson,New Jersey,147754,40.916765,-74.171811,0,0,0,0,0,0,0,0
173,Naperville,Illinois,147100,41.750839,-88.153535,0,0,0,0,0,0,1,1
174,Syracuse,New York,144142,43.048122,-76.147424,0,1,0,1,3,4,6,6
175,Mesquite,Texas,144788,32.766796,-96.599159,0,0,0,0,0,0,0,6
176,Dayton,Ohio,140599,39.758948,-84.191607,0,1,0,1,0,1,0,3
177,Savannah,Georgia,145674,32.083541,-81.099834,0,3,0,3,0,4,4,4
178,Clarksville,Tennessee,149176,36.529771,-87.359453,1,2,1,2,1,5,5,8
179,Orange,California,140992,33.787914,-117.853101,0,0,0,0,0,0,0,0
180,Pasadena,California,142250,34.147785,-118.144515,0,0,0,0,0,0,0,0
181,Fullerton,California,140847,33.870365,-117.924212,0,0,0,0,0,0,0,0
182,Killeen,Texas,140806,31.117119,-97.727796,1,2,1,2,1,2,2,4
183,Frisco,Texas,154407,33.150674,-96.823612,1,1,1,1,1,1,1,5
184,Hampton,Virginia,136454,37.029869,-76.345222,0,0,0,1,2,5,5,5
185,McAllen,Texas,140269,26.203407,-98.230012,0,6,0,6,0,6,7,9
186,Warren,Michigan,135358,42.514457,-83.014653,0,0,0,0,0,0,0,0
187,Bellevue,Washington,139820,47.61015,-122.201516,0,0,0,0,0,0,0,0
188,West Valley City,Utah,136208,40.691613,-112.00105,0,0,0,0,0,11,0,11
189,Columbia,South Carolina,133803,34.00071,-81.034814,0,2,0,2,2,2,3,4
190,Olathe,Kansas,134305,38.881396,-94.819128,0,0,0,0,0,0,0,0
191,Sterling Heights,Michigan,132052,42.580312,-83.030203,0,0,0,0,0,0,0,0
192,New Haven,Connecticut,130322,41.308274,-72.927883,0,0,0,1,0,1,1,2
193,Miramar,Florida,137132,25.986076,-80.30356,0,0,0,0,0,0,0,0
194,Waco,Texas,132356,31.549333,-97.14667,0,2,0,2,2,2,3,3
195,Thousand Oaks,California,129339,34.170561,-118.837594,0,0,0,0,0,0,0,0
196,Cedar Rapids,Iowa,130405,41.97788,-91.665623,1,1,1,1,1,1,1,7
197,Charleston,South Carolina,132609,32.776475,-79.931051,0,3,0,3,4,5,6,6
198,Visalia,California,130104,36.330228,-119.292058,1,1,1,1,1,1,1,2
199,Topeka,Kansas,127265,39.055824,-95.689018,2,2,2,2,2,2,2,2
200,Elizabeth,New Jersey,129007,40.663992,-74.210701,0,0,0,0,0,1,0,1
201,Gainesville,Florida,130128,29.651634,-82.324826,0,0,0,0,0,1,0,1
202,Thornton,Colorado,133451,39.868041,-104.971924,0,0,0,0,0,0,0,0
203,Roseville,California,130269,38.752124,-121.288006,0,0,0,0,0,0,0,0
204,Carrollton,Texas,133168,32.975642,-96.889964,0,0,0,0,0,0,0,6
205,Coral Springs,Florida,129485,26.271192,-80.270604,0,0,0,1,0,1,0,1
206,Stamford,Connecticut,128874,41.05343,-73.538734,0,0,0,0,0,0,0,1
207,Simi Valley,California,126788,34.269447,-118.781482,0,0,0,0,0,0,0,0
208,Concord,California,128667,37.977978,-122.031073,0,0,0,0,0,0,0,0
209,Hartford,Connecticut,124006,41.763711,-72.685093,0,0,0,0,0,1,0,1
210,Kent,Washington,126952,47.380933,-122.234843,0,0,0,0,0,0,0,0
211,Lafayette,Louisiana,127657,30.22409,-92.019843,2,4,2,4,2,4,6,11
212,Midland,Texas,132950,31.997346,-102.077915,8,8,8,8,8,9,9,9
213,Surprise,Arizona,128422,33.629234,-112.367928,1,1,1,1,1,1,1,1
214,Denton,Texas,131044,33.214841,-97.133068,1,1,1,1,1,1,1,5
215,Victorville,California,122225,34.536218,-117.292764,0,1,1,1,1,1,1,1
216,Evansville,Indiana,119943,37.971559,-87.57109,3,3,3,3,3,4,5,5
217,Santa Clara,California,126215,37.354108,-121.955236,0,0,0,0,0,0,0,1
218,Abilene,Texas,121721,32.448736,-99.733144,4,4,4,4,4,5,5,7
219,Athens,Georgia,122604,33.951935,-83.357567,1,2,2,2,2,2,2,2
220,Vallejo,California,121253,38.104086,-122.256637,0,0,0,0,0,0,1,1
221,Allentown,Pennsylvania,120207,40.60843,-75.490183,0,0,0,0,0,0,0,0
222,Norman,Oklahoma,120284,35.222567,-97.439478,0,0,0,0,0,5,0,5
223,Beaumont,Texas,118129,30.080174,-94.126556,2,2,2,2,2,2,2,7
224,Independence,Missouri,117255,39.091116,-94.415507,0,0,0,0,0,0,0,0
225,Murfreesboro,Tennessee,126118,35.845621,-86.39027,1,1,1,1,1,3,3,6
226,Ann Arbor,Michigan,117070,42.280826,-83.743038,0,1,0,1,0,1,1,1
227,Springfield,Illinois,116565,39.781721,-89.650148,0,1,0,2,0,2,2,2
228,Berkeley,California,120972,37.871593,-122.272747,0,0,0,0,0,0,0,0
229,Peoria,Illinois,115070,40.693649,-89.588986,0,2,0,2,2,2,2,4
230,Provo,Utah,115264,40.233844,-111.658534,1,1,1,1,1,10,1,10
231,El Monte,California,116732,34.068621,-118.027567,0,0,0,0,0,0,0,0
232,Columbia,Missouri,119108,38.951705,-92.334072,3,4,3,4,3,4,3,4
233,Lansing,Michigan,115056,42.732535,-84.555535,0,0,0,1,0,1,0,1
234,Fargo,North Dakota,118523,46.877186,-96.789803,0,6,0,6,0,7,7,7
235,Downey,California,114219,33.940109,-118.133159,0,0,0,0,0,0,0,0
236,Costa Mesa,California,113204,33.641216,-117.918822,0,0,0,0,0,0,0,0
237,Wilmington,North Carolina,115933,34.225726,-77.94471,0,3,0,3,3,4,3,4
238,Arvada,Colorado,115368,39.802764,-105.087484,0,0,0,0,0,0,0,0
239,Inglewood,California,111666,33.96168,-118.353131,0,0,0,0,0,0,0,0
240,Miami Gardens,Florida,113187,25.942038,-80.245604,0,0,0,0,0,0,0,0
241,Carlsbad,California,113453,33.158093,-117.350594,0,0,0,1,0,1,0,1
242,Westminster,Colorado,113130,39.836653,-105.037205,0,0,0,0,0,0,0,0
243,Rochester,Minnesota,112225,44.012122,-92.480199,2,2,2,2,2,2,2,2
244,Odessa,Texas,118968,31.845682,-102.367643,8,8,8,8,8,9,9,10
245,Manchester,New Hampshire,110229,42.99564,-71.454789,0,0,0,0,1,1,1,1
246,Elgin,Illinois,112111,42.035408,-88.282567,1,1,1,1,1,1,1,1
247,West Jordan,Utah,111946,40.60967,-111.939103,0,0,0,0,0,11,0,11
248,Round Rock,Texas,115997,30.508255,-97.678896,0,0,0,0,0,0,0,3
249,Clearwater,Florida,113003,27.965853,-82.800103,0,0,0,0,0,1,0,1
250,Waterbury,Connecticut,108802,41.558152,-73.051496,0,0,1,1,1,1,1,1
251,Gresham,Oregon,110553,45.500136,-122.430201,0,1,0,1,1,4,1,4
252,Fairfield,California,112970,38.249358,-122.039966,0,0,0,1,0,1,1,1
253,Billings,Montana,110263,45.783286,-108.50069,0,0,0,7,0,10,0,15
254,Lowell,Massachusetts,110699,42.633425,-71.316172,1,1,1,1,1,1,1,1
255,San Buenaventura (Ventura),California,109708,34.274646,-119.229032,0,0,0,0,0,0,0,1
256,Pueblo,Colorado,109412,38.254447,-104.609141,1,3,1,3,1,3,3,3
257,High Point,North Carolina,110268,35.955692,-80.005318,0,1,0,1,0,2,0,2
258,West Covina,California,108484,34.068621,-117.938953,0,0,0,0,0,0,0,0
259,Richmond,California,109708,37.935758,-122.347749,0,0,0,0,0,0,0,0
260,Murrieta,California,109830,33.553914,-117.213923,0,1,0,1,0,1,0,1
261,Cambridge,Massachusetts,110402,42.373616,-71.109733,0,0,0,0,0,0,0,0
262,Antioch,California,110542,38.004921,-121.805789,0,0,0,0,0,1,1,1
263,Temecula,California,112011,33.493639,-117.148365,0,0,0,1,0,1,0,1
264,Norwalk,California,107140,33.902237,-118.081733,0,0,0,0,0,0,0,0
265,Centennial,Colorado,109741,39.580745,-104.877173,0,0,0,0,0,0,0,0
266,Everett,Washington,108010,47.978985,-122.202079,0,0,0,0,0,1,0,1
267,Palm Bay,Florida,107888,28.034462,-80.588665,1,2,1,2,1,2,2,2
268,Wichita Falls,Texas,104710,33.913708,-98.493387,3,3,3,3,3,4,4,4
269,Green Bay,Wisconsin,105207,44.519159,-88.019826,3,3,3,3,3,3,3,8
270,Daly City,California,106562,37.687924,-122.470208,0,0,0,0,0,0,0,0
271,Burbank,California,105319,34.180839,-118.308966,0,0,0,0,0,0,0,0
272,Richardson,Texas,110815,32.948333,-96.729852,0,0,0,0,0,0,0,6
273,Pompano Beach,Florida,107762,26.23786,-80.124767,0,0,0,0,0,0,0,0
274,North Charleston,South Carolina,108304,32.85462,-79.97481,0,3,0,3,4,5,6,6
275,Broken Arrow,Oklahoma,106563,36.060949,-95.797453,0,3,0,3,3,5,3,5
276,Boulder,Colorado,107349,40.014986,-105.270546,0,0,0,0,0,1,0,1
277,West Palm Beach,Florida,106779,26.715342,-80.053375,0,0,0,0,0,1,0,1
278,Santa Maria,California,105093,34.953034,-120.435719,0,1,1,2,1,2,3,4
279,El Cajon,California,103679,32.794773,-116.962527,0,0,0,0,0,0,0,0
280,Davenport,Iowa,102582,41.523644,-90.577637,0,2,2,2,2,2,2,5
281,Rialto,California,103132,34.1064,-117.370323,0,0,0,0,0,0,0,0
282,Las Cruces,New Mexico,101643,32.31994,-106.763654,1,1,1,1,6,6,6,11
283,San Mateo,California,103536,37.562992,-122.325525,0,0,0,0,1,1,1,1
284,Lewisville,Texas,104039,33.046233,-96.994174,0,0,0,0,0,0,0,5
285,South Bend,Indiana,101516,41.676355,-86.25199,2,2,2,2,2,3,3,3
286,Lakeland,Florida,104401,28.039465,-81.949804,0,1,0,1,0,1,0,1
287,Erie,Pennsylvania,99475,42.129224,-80.085059,3,3,3,3,3,3,3,8
288,Tyler,Texas,103700,32.35126,-95.301062,3,3,3,3,3,3,3,6
289,Pearland,Texas,108821,29.563567,-95.286047,0,0,0,0,0,0,0,5
290,College Station,Texas,107889,30.627977,-96.334407,2,2,2,2,3,3,3,3
291,Kenosha,Wisconsin,99858,42.584742,-87.821185,1,1,1,1,1,1,1,1
292,Sandy Springs,Georgia,105330,33.930435,-84.373315,0,0,0,0,0,0,0,0
293,Clovis,California,104180,36.825228,-119.702919,0,0,0,0,0,0,0,3
294,Flint,Michigan,98310,43.012527,-83.687456,0,0,0,0,0,1,0,1
295,Roanoke,Virginia,99897,37.27097,-79.941427,0,3,0,3,4,5,4,5
296,Albany,New York,98469,42.652579,-73.756232,0,0,0,0,0,2,2,3
297,Jurupa Valley,California,100314,33.997197,-117.48548,0,0,0,0,0,0,0,0
298,Compton,California,98462,33.895849,-118.220071,0,0,0,0,0,0,0,0
299,San Angelo,Texas,100450,31.463772,-100.437038,6,6,6,6,6,6,6,6
300,Hillsboro,Oregon,102347,45.522894,-122.989827,0,0,1,1,1,5,1,5
301,Lawton,Oklahoma,96655,34.603567,-98.395929,2,2,2,2,2,5,2,5
302,Renton,Washington,100242,47.482878,-122.217066,0,0,0,0,0,0,0,0
303,Vista,California,100890,33.200037,-117.242536,0,0,1,1,1,1,1,1
304,Davie,Florida,100882,26.076478,-80.252116,0,0,0,0,0,0,0,0
305,Greeley,Colorado,100883,40.423314,-104.709132,0,1,1,2,1,2,2,2
306,Mission Viejo,California,97156,33.596891,-117.658156,0,0,0,0,0,0,0,0
307,Portsmouth,Virginia,96201,36.835426,-76.298274,0,0,0,0,3,6,6,6
308,Dearborn,Michigan,95171,42.32226,-83.176314,0,0,0,0,0,0,0,0
309,South Gate,California,96401,33.954737,-118.212016,0,0,0,0,0,0,0,0
310,Tuscaloosa,Alabama,98332,33.209841,-87.569173,0,1,0,1,0,4,0,4
311,Livonia,Michigan,94635,42.36837,-83.35271,0,0,0,0,0,0,0,0
312,New Bedford,Massachusetts,94958,41.636215,-70.934205,1,1,1,1,1,1,1,1
313,Vacaville,California,96803,38.356577,-121.987744,0,0,0,1,0,1,1,1
314,Brockton,Massachusetts,95314,42.083433,-71.018379,1,1,1,1,1,1,1,1
315,Roswell,Georgia,94501,34.023243,-84.361555,0,0,0,0,0,0,0,0
316,Beaverton,Oregon,96577,45.487062,-122.80371,0,0,0,0,0,4,0,4
317,Quincy,Massachusetts,93618,42.252877,-71.00227,1,1,1,1,1,1,1,1
318,Sparks,Nevada,96094,39.534911,-119.752689,0,3,0,3,0,3,0,3
319,Yakima,Washington,93701,46.602071,-120.505899,0,2,0,2,0,2,0,4
320,Lee's Summit,Missouri,95094,38.910841,-94.382172,0,0,0,0,0,0,0,0
321,Federal Way,Washington,95171,47.322322,-122.312622,0,0,0,0,0,0,0,0
322,Carson,California,93281,33.831674,-118.281693,0,0,0,0,0,0,0,0
323,Santa Monica,California,93220,34.019454,-118.491191,0,0,0,0,0,0,0,0
324,Hesperia,California,93295,34.426389,-117.300878,0,1,1,1,1,1,1,1
325,Allen,Texas,98143,33.103174,-96.67055,0,0,0,0,0,0,0,6
326,Rio Rancho,New Mexico,94171,35.232754,-106.663044,0,0,0,0,0,0,0,12
